Genome	Phylum	Class	Order	Family	Genus
ERR1293651_bin.10	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae	Clostridium
ERR1190908_bin.40	Actinobacteria	Actinobacteria	Coriobacteriales	Coriobacteriaceae	Collinsella
SRR6054493_bin.13	Firmicutes	Clostridia	Clostridiales	NA	NA
ERR866569_bin.9	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Porphyromonas
SRR6028644_bin.5	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	NA
SRR3917688_bin.21	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	NA
ERR866600_bin.4	Firmicutes	Clostridia	Clostridiales	Clostridiales Family XI	NA
SRR2912800_bin.26	Firmicutes	Negativicutes	Selenomonadales	Veillonellaceae	Megasphaera
SRR6028283_bin.5	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	NA
SRR1761718_bin.32	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Campylobacter
ERR209478_bin.1	Tenericutes	Mollicutes	NA	NA	NA
ERR505106_bin.36	Tenericutes	Mollicutes	NA	NA	NA
ERR1190832_bin.10	Proteobacteria	Betaproteobacteria	Burkholderiales	Sutterellaceae	Sutterella
SRR2048044_bin.16	Firmicutes	Bacilli	Lactobacillales	Carnobacteriaceae	Granulicatella
ERR1620292_bin.17	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Blautia
ERR1018284_bin.6	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes
ERR1297693_bin.4	Firmicutes	Negativicutes	Selenomonadales	Acidaminococcaceae	Succiniclasticum
SRR1779117_bin.2	Firmicutes	Bacilli	Bacillales	Paenibacillaceae	Paenibacillus
SRR3737021_bin.38	Actinobacteria	Actinobacteria	Coriobacteriales	Coriobacteriaceae	NA
ERR1190829_bin.23	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae	Clostridium
ERR1190874_bin.16	Firmicutes	Clostridia	Clostridiales	Oscillospiraceae	Oscillibacter
SRR1761706_bin.15	Firmicutes	Clostridia	Clostridiales	Eubacteriaceae	Eubacterium
ERR505104_bin.26	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae	Clostridium
ERR1578685_bin.8	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae	Clostridium
ERR1190956_bin.22	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	NA
ERR1305881_bin.48	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	NA
ERR1912960_bin.3	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	NA
ERR209556_bin.16	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	NA
ERR414337_bin.15	Firmicutes	Clostridia	Clostridiales	NA	NA
ERR589509_bin.11	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	NA
SRR1761704_bin.31	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcus
SRR4481801_bin.34	Firmicutes	Clostridia	Clostridiales	NA	NA
SRR5275435_bin.8	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae	Clostridium
ERR1293753_bin.19	Verrucomicrobia	Verrucomicrobiae	Verrucomicrobiales	Verrucomicrobiaceae	Akkermansia
SRR4408075_bin.5	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Campylobacter
ERR688524_bin.28	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Blautia
SRR3737013_bin.8	Proteobacteria	Gammaproteobacteria	Aeromonadales	Succinivibrionaceae	Succinatimonas
ERR1620270_bin.10	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella
SRR5963270_bin.5	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus
SRR5091520_bin.30	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Roseburia
ERR1190959_bin.47	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	Azospirillum
ERR1293653_bin.31	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	Azospirillum
ERR525714_bin.15	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Robinsoniella
SRR6028214_bin.17	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae	Clostridium
ERR1305878_bin.43	Tenericutes	Mollicutes	NA	NA	NA
ERR209356_bin.11	Tenericutes	Mollicutes	NA	NA	NA
ERR688606_bin.32	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	NA
SRR5558393_bin.8	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella
SRR1761667_bin.18	Proteobacteria	Gammaproteobacteria	Aeromonadales	Succinivibrionaceae	NA
SRR2912788_bin.43	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae	Clostridium
SRR3736991_bin.7	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	NA
SRR2992962_bin.4	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	NA
ERR525920_bin.17	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	NA
ERR589511_bin.29	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes
SRR5056653_bin.5	Firmicutes	Negativicutes	Selenomonadales	Veillonellaceae	Megasphaera
SRR4451581_bin.24	Actinobacteria	Actinobacteria	Coriobacteriales	Coriobacteriaceae	Collinsella
SRR5057033_bin.53	Actinobacteria	Actinobacteria	Coriobacteriales	Coriobacteriaceae	NA
ERR1293914_bin.3	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Porphyromonas
ERR866572_bin.23	Firmicutes	Clostridia	Clostridiales	Clostridiales Family XI	NA
ERR1190576_bin.55	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	NA
ERR1953523_bin.101	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae	Clostridium
SRR1818227_bin.9	Proteobacteria	Alphaproteobacteria	Rhizobiales	Phyllobacteriaceae	Phyllobacterium
SRR5056808_bin.73	Tenericutes	Mollicutes	NA	NA	NA
ERR1190900_bin.3	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	NA
ERR589506_bin.19	Firmicutes	Clostridia	Clostridiales	Eubacteriaceae	Eubacterium
SRR1761690_bin.37	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	NA
SRR1761696_bin.54	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Anaerotruncus
SRR2992899_bin.7	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcus
SRR5275432_bin.23	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Anaerotruncus
SRR6028515_bin.6	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella
ERR589512_bin.12	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	NA
ERR1305901_bin.91	Verrucomicrobia	Verrucomicrobiae	Verrucomicrobiales	Verrucomicrobiaceae	Akkermansia
ERR636351_bin.83	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides
SRR341713_bin.18	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Faecalibacterium
SRR6028420_bin.13	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Faecalibacterium
ERR1912997_bin.34	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcus
SRR5579983_bin.98	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcus
SRR6028572_bin.16	Bacteroidetes	Bacteroidia	Bacteroidales	NA	NA
SRR2047828_bin.35	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae	Clostridium
ERR688520_bin.8	Actinobacteria	Actinobacteria	Coriobacteriales	Coriobacteriaceae	Eggerthella
ERR1018298_bin.4	Firmicutes	Clostridia	Clostridiales	Eubacteriaceae	Eubacterium
DRR042356_bin.29	Tenericutes	Mollicutes	Erysipelotrichales	Erysipelotrichaceae	Solobacterium
SRR924797_bin.5	Actinobacteria	Actinobacteria	Actinomycetales	Corynebacteriaceae	Corynebacterium
ERR1018239_bin.9	Firmicutes	Clostridia	Clostridiales	NA	NA
SRR3737013_bin.42	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcus
SRR5275434_bin.23	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	NA
SRR4408188_bin.8	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Ruminococcus
SRR6028624_bin.16	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcus
SRR6257473_bin.10	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Enterobacter
SRR1761703_bin.50	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	NA
ERR525857_bin.14	Actinobacteria	Actinobacteria	Coriobacteriales	Coriobacteriaceae	Collinsella
SRR3132231_bin.5	Proteobacteria	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Aeromonas
SRR6028512_bin.13	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes
SRR3917686_bin.8	Firmicutes	Clostridia	Clostridiales	NA	NA
ERR525989_bin.4	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Parabacteroides
ERR414271_bin.13	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	NA
SRR769525_bin.16	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	NA
SRR4305192_bin.3	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides
SRR2912776_bin.27	Firmicutes	Clostridia	Clostridiales	NA	NA
SRR1761714_bin.19	Firmicutes	Clostridia	Clostridiales	NA	NA
SRR5558214_bin.18	Firmicutes	Negativicutes	Selenomonadales	Veillonellaceae	Dialister
ERR1293861_bin.21	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	NA
SRR5580022_bin.2	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides
ERR321453_bin.7	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides
SRR5057033_bin.5	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Anaeromassilibacillus
SRR1449329_bin.5	Tenericutes	Mollicutes	NA	NA	NA
ERR1190903_bin.78	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae	Clostridium
ERR1293538_bin.10	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	Azospirillum
ERR866572_bin.13	Firmicutes	Clostridia	Clostridiales	Clostridiales Family XI	NA
ERR1620320_bin.43	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Barnesiella
ERR1293806_bin.7	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae	Clostridium
ERR414321_bin.1	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae	Clostridium
SRR1761716_bin.48	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	NA
SRR4033073_bin.3	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	NA
SRR5056774_bin.47	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	NA
SRR6028305_bin.9	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	NA
SRR6028507_bin.22	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	NA
ERR526047_bin.37	Actinobacteria	Actinobacteria	Coriobacteriales	Coriobacteriaceae	Eggerthella
ERR209456_bin.66	Tenericutes	Mollicutes	NA	NA	NA
ERR414354_bin.44	Tenericutes	Mollicutes	NA	NA	NA
ERR505089_bin.21	Tenericutes	Mollicutes	NA	NA	NA
ERR589576_bin.28	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella
ERR688621_bin.2	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae	Clostridium
ERR525725_bin.38	Proteobacteria	Alphaproteobacteria	NA	NA	NA
ERR525873_bin.9	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinomyces
SRR1761667_bin.11	Spirochaetes	Spirochaetia	NA	NA	NA
SRR2155360_bin.7	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella
SRR5275468_bin.41	Firmicutes	Clostridia	Clostridiales	NA	NA
ERR321470_bin.7	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	NA
ERR525690_bin.5	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Robinsoniella
ERR1190714_bin.6	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae	Clostridium
SRR2857970_bin.66	Proteobacteria	Deltaproteobacteria	Desulfovibrionales	Desulfovibrionaceae	Desulfovibrio
ERR1913059_bin.17	Firmicutes	Clostridia	Clostridiales	NA	NA
SRR5963000_bin.2	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinomyces
ERR1293894_bin.25	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Faecalibacterium
ERR1305888_bin.7	Firmicutes	Negativicutes	Selenomonadales	Acidaminococcaceae	Acidaminococcus
SRR5558219_bin.64	Firmicutes	Negativicutes	Selenomonadales	Acidaminococcaceae	Phascolarctobacterium
ERR1018221_bin.36	Actinobacteria	Actinobacteria	Coriobacteriales	Coriobacteriaceae	Collinsella
ERR2013622_bin.73	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnospira
ERR1190924_bin.18	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus
SRR1761721_bin.27	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	NA
ERR1620303_bin.11	Firmicutes	Clostridia	Clostridiales	NA	NA
ERR1190811_bin.41	Firmicutes	Clostridia	Clostridiales	NA	NA
SRR1761683_bin.19	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	NA
ERR1018197_bin.29	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	NA
ERR1297740_bin.24	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	NA
ERR414320_bin.70	Tenericutes	Mollicutes	NA	NA	NA
ERR1190792_bin.68	Tenericutes	Mollicutes	Erysipelotrichales	Erysipelotrichaceae	Catenibacterium
SRR1761666_bin.9	Tenericutes	Mollicutes	Erysipelotrichales	Erysipelotrichaceae	Catenibacterium
SRR5963132_bin.22	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Robinsoniella
SRR769523_bin.15	Actinobacteria	Actinobacteria	Coriobacteriales	Coriobacteriaceae	Eggerthella
ERR1913001_bin.12	Firmicutes	Clostridia	Clostridiales	NA	NA
SRR1761712_bin.8	Firmicutes	Clostridia	Clostridiales	NA	NA
SRR4305376_bin.4	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae	Clostridium
SRR5057116_bin.46	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Blautia
ERR414315_bin.60	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides
ERR1190624_bin.64	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella
ERR1190820_bin.8	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	NA
ERR414439_bin.36	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	NA
SRR1761701_bin.23	Firmicutes	Negativicutes	Selenomonadales	Veillonellaceae	Megasphaera
ERR525699_bin.23	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Parabacteroides
ERR1190926_bin.44	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcus
ERR2013622_bin.69	Actinobacteria	Actinobacteria	Coriobacteriales	Coriobacteriaceae	Collinsella
SRR1201570_bin.8	Firmicutes	Clostridia	Clostridiales	NA	NA
SRR2155376_bin.6	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	NA
SRR3993017_bin.61	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella
SRR5579983_bin.99	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides
ERR1190584_bin.4	Actinobacteria	Actinobacteria	Coriobacteriales	Coriobacteriaceae	Collinsella
ERR1190809_bin.11	Actinobacteria	Actinobacteria	Coriobacteriales	Coriobacteriaceae	Collinsella
ERR1190917_bin.32	Actinobacteria	Actinobacteria	Coriobacteriales	Coriobacteriaceae	Collinsella
ERR1190950_bin.1	Actinobacteria	Actinobacteria	Coriobacteriales	Coriobacteriaceae	Collinsella
ERR1305901_bin.110	Actinobacteria	Actinobacteria	Coriobacteriales	Coriobacteriaceae	Collinsella
ERR1578685_bin.31	Actinobacteria	Actinobacteria	Coriobacteriales	Coriobacteriaceae	Collinsella
ERR525744_bin.9	Actinobacteria	Actinobacteria	Coriobacteriales	Coriobacteriaceae	Collinsella
ERR525865_bin.12	Actinobacteria	Actinobacteria	Coriobacteriales	Coriobacteriaceae	Collinsella
ERR525913_bin.5	Actinobacteria	Actinobacteria	Coriobacteriales	Coriobacteriaceae	Collinsella
ERR525949_bin.2	Actinobacteria	Actinobacteria	Coriobacteriales	Coriobacteriaceae	Collinsella
ERR525993_bin.3	Actinobacteria	Actinobacteria	Coriobacteriales	Coriobacteriaceae	Collinsella
ERR526039_bin.15	Actinobacteria	Actinobacteria	Coriobacteriales	Coriobacteriaceae	Collinsella
ERR526071_bin.6	Actinobacteria	Actinobacteria	Coriobacteriales	Coriobacteriaceae	Collinsella
ERR688505_bin.28	Actinobacteria	Actinobacteria	Coriobacteriales	Coriobacteriaceae	Collinsella
SRR1196448_bin.11	Actinobacteria	Actinobacteria	Coriobacteriales	Coriobacteriaceae	Collinsella
SRR1197768_bin.9	Actinobacteria	Actinobacteria	Coriobacteriales	Coriobacteriaceae	Olsenella
SRR3582148_bin.9	Actinobacteria	Actinobacteria	Coriobacteriales	Coriobacteriaceae	Collinsella
SRR3737007_bin.23	Actinobacteria	Actinobacteria	Coriobacteriales	Coriobacteriaceae	Collinsella
SRR3993018_bin.29	Actinobacteria	Actinobacteria	Coriobacteriales	Coriobacteriaceae	Collinsella
SRR4305073_bin.1	Actinobacteria	Actinobacteria	Coriobacteriales	Coriobacteriaceae	Collinsella
SRR4408283_bin.12	Actinobacteria	Actinobacteria	Coriobacteriales	Coriobacteriaceae	Collinsella
SRR4451622_bin.66	Actinobacteria	Actinobacteria	Coriobacteriales	Coriobacteriaceae	Collinsella
SRR4481738_bin.62	Actinobacteria	Actinobacteria	Coriobacteriales	Coriobacteriaceae	Collinsella
SRR5057076_bin.44	Actinobacteria	Actinobacteria	Coriobacteriales	Coriobacteriaceae	Collinsella
SRR5127512_bin.17	Actinobacteria	Actinobacteria	Coriobacteriales	Coriobacteriaceae	Collinsella
SRR5127513_bin.28	Actinobacteria	Actinobacteria	Coriobacteriales	Coriobacteriaceae	Collinsella
SRR5127596_bin.10	Actinobacteria	Actinobacteria	Coriobacteriales	Coriobacteriaceae	Collinsella
SRR5127650_bin.2	Actinobacteria	Actinobacteria	Coriobacteriales	Coriobacteriaceae	Collinsella
SRR5127720_bin.20	Actinobacteria	Actinobacteria	Coriobacteriales	Coriobacteriaceae	Collinsella
SRR5127766_bin.2	Actinobacteria	Actinobacteria	Coriobacteriales	Coriobacteriaceae	Collinsella
SRR5127794_bin.11	Actinobacteria	Actinobacteria	Coriobacteriales	Coriobacteriaceae	Collinsella
SRR5279258_bin.3	Actinobacteria	Actinobacteria	Coriobacteriales	Coriobacteriaceae	Collinsella
SRR5558040_bin.6	Actinobacteria	Actinobacteria	Coriobacteriales	Coriobacteriaceae	Collinsella
SRR5580128_bin.8	Actinobacteria	Actinobacteria	Coriobacteriales	Coriobacteriaceae	Collinsella
SRR5963185_bin.16	Actinobacteria	Actinobacteria	Coriobacteriales	Coriobacteriaceae	Collinsella
SRR6028536_bin.14	Actinobacteria	Actinobacteria	Coriobacteriales	Coriobacteriaceae	Collinsella
SRR6054490_bin.16	Actinobacteria	Actinobacteria	Coriobacteriales	Coriobacteriaceae	Collinsella
ERR525750_bin.3	Actinobacteria	Actinobacteria	Coriobacteriales	Coriobacteriaceae	Collinsella
ERR525926_bin.7	Actinobacteria	Actinobacteria	Coriobacteriales	Coriobacteriaceae	Collinsella
ERR1293610_bin.26	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides
SRR6028346_bin.15	Bacteroidetes	Bacteroidia	Bacteroidales	NA	NA
ERR414334_bin.28	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides
ERR1620321_bin.10	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Parabacteroides
SRR1214522_bin.4	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella
ERR525697_bin.54	Actinobacteria	Actinobacteria	Coriobacteriales	Coriobacteriaceae	Collinsella
ERR1190610_bin.12	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Blautia
SRR4408050_bin.14	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae	Clostridium
ERR866572_bin.17	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Porphyromonas
ERR688601_bin.50	Tenericutes	Mollicutes	Erysipelotrichales	Erysipelotrichaceae	Solobacterium
SRR1761708_bin.14	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcus
ERR688549_bin.7	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae	Clostridium
ERR688517_bin.19	Firmicutes	Clostridia	Clostridiales	NA	NA
SRR924797_bin.3	Firmicutes	Clostridia	Clostridiales	Clostridiales Family XI	Anaerococcus
SRR5275455_bin.19	Proteobacteria	Deltaproteobacteria	Desulfovibrionales	Desulfovibrionaceae	Desulfovibrio
ERR525989_bin.14	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Odoribacter
ERR526073_bin.18	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter
SRR5057125_bin.11	Proteobacteria	Betaproteobacteria	Burkholderiales	Sutterellaceae	Sutterella
SRR5056786_bin.28	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Butyricicoccus
SRR1761720_bin.16	Spirochaetes	Spirochaetia	NA	NA	NA
ERR1190898_bin.10	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae	Clostridium
SRR4444801_bin.32	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	NA
ERR1018193_bin.15	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides
ERR1578622_bin.12	Fusobacteria	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	Fusobacterium
SRR1490999_bin.2	Tenericutes	Mollicutes	NA	NA	NA
ERR1018268_bin.6	Actinobacteria	Actinobacteria	Coriobacteriales	Coriobacteriaceae	Collinsella
ERR526036_bin.30	Firmicutes	Negativicutes	Selenomonadales	Veillonellaceae	Dialister
ERR1578628_bin.40	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	NA
SRR5056748_bin.63	Firmicutes	Clostridia	Clostridiales	NA	NA
SRR2047833_bin.6	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Ruminococcus
ERR1305900_bin.6	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcus
SRR5127632_bin.6	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	NA
SRR5558121_bin.15	Firmicutes	Clostridia	Clostridiales	NA	NA
ERR1305897_bin.4	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	NA
SRR1197541_bin.30	Tenericutes	Mollicutes	Erysipelotrichales	Erysipelotrichaceae	Solobacterium
SRR2155339_bin.18	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes
SRR769514_bin.12	Firmicutes	Negativicutes	Selenomonadales	Acidaminococcaceae	Succiniclasticum
ERR1018251_bin.23	Firmicutes	Negativicutes	Selenomonadales	Veillonellaceae	Dialister
SRR6028394_bin.25	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes
ERR414242_bin.31	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella
DRR042341_bin.5	Actinobacteria	Actinobacteria	Coriobacteriales	Coriobacteriaceae	Collinsella
DRR042411_bin.15	Actinobacteria	Actinobacteria	Coriobacteriales	Coriobacteriaceae	Collinsella
DRR042429_bin.2	Actinobacteria	Actinobacteria	Coriobacteriales	Coriobacteriaceae	Collinsella
DRR042469_bin.28	Actinobacteria	Actinobacteria	Coriobacteriales	Coriobacteriaceae	Collinsella
ERR1190846_bin.57	Actinobacteria	Actinobacteria	Coriobacteriales	Coriobacteriaceae	Collinsella
ERR1190848_bin.18	Actinobacteria	Actinobacteria	Coriobacteriales	Coriobacteriaceae	Olsenella
ERR1190860_bin.15	Actinobacteria	Actinobacteria	Coriobacteriales	Coriobacteriaceae	Collinsella
ERR1190927_bin.13	Actinobacteria	Actinobacteria	Coriobacteriales	Coriobacteriaceae	Collinsella
ERR1297720_bin.9	Actinobacteria	Actinobacteria	Coriobacteriales	Coriobacteriaceae	Collinsella
ERR1305892_bin.69	Actinobacteria	Actinobacteria	Coriobacteriales	Coriobacteriaceae	Collinsella
ERR526080_bin.36	Actinobacteria	Actinobacteria	Coriobacteriales	Coriobacteriaceae	Collinsella
SRR2912793_bin.2	Actinobacteria	Actinobacteria	Coriobacteriales	Coriobacteriaceae	Collinsella
SRR2912795_bin.15	Actinobacteria	Actinobacteria	Coriobacteriales	Coriobacteriaceae	Collinsella
SRR3993025_bin.7	Actinobacteria	Actinobacteria	Coriobacteriales	Coriobacteriaceae	Collinsella
SRR4408040_bin.5	Actinobacteria	Actinobacteria	Coriobacteriales	Coriobacteriaceae	Collinsella
SRR4783567_bin.44	Actinobacteria	Actinobacteria	Coriobacteriales	Coriobacteriaceae	Collinsella
SRR5032304_bin.21	Actinobacteria	Actinobacteria	Coriobacteriales	Coriobacteriaceae	Collinsella
SRR5056720_bin.124	Actinobacteria	Actinobacteria	Coriobacteriales	Coriobacteriaceae	Collinsella
SRR5057015_bin.5	Actinobacteria	Actinobacteria	Coriobacteriales	Coriobacteriaceae	Collinsella
SRR5127698_bin.1	Actinobacteria	Actinobacteria	Coriobacteriales	Coriobacteriaceae	Collinsella
SRR5558158_bin.11	Actinobacteria	Actinobacteria	Coriobacteriales	Coriobacteriaceae	Collinsella
ERR1190862_bin.42	Actinobacteria	Actinobacteria	Coriobacteriales	Coriobacteriaceae	Collinsella
SRR4305226_bin.4	Actinobacteria	Actinobacteria	Coriobacteriales	Coriobacteriaceae	Collinsella
SRR5558195_bin.21	Actinobacteria	Actinobacteria	Coriobacteriales	Coriobacteriaceae	Collinsella
ERR414279_bin.29	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	NA
SRR2992896_bin.80	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	NA
ERR525837_bin.5	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinomyces
ERR1913011_bin.11	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	NA
ERR1018224_bin.23	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	NA
ERR1578662_bin.39	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Blautia
ERR414424_bin.15	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Parabacteroides
ERR866583_bin.12	Spirochaetes	Spirochaetia	Spirochaetales	Spirochaetaceae	Treponema
SRR3737013_bin.56	Bacteroidetes	Bacteroidia	Bacteroidales	NA	NA
SRR341608_bin.17	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Xylanibacter
